subject,block,rt,response,soa,hist,rsi
2,3,0.8300788,1,100,R,1.8
2,3,1.1519512,0,72,R,1.6
2,3,0.8773125,1,100,R,0.9
2,3,1.0880153,1,44,R,1.9
2,3,0.9476527,1,44,R,1.4
2,3,0.9230076,1,44,R,1.8
2,3,0.7104026,1,100,R,1.3
2,3,0.9010105,1,72,R,1.9
2,3,0.9276904,1,44,R,0.9
2,3,0.6383755,1,100,R,1.8
2,3,0.6288828,1,44,R,1.9
2,3,0.6746015,1,16,R,1.9
2,3,0.7721174,1,100,R,0.9
2,3,1.2555783,1,16,R,1.1
2,3,0.9679737,1,100,R,2.1
2,3,1.6282137,1,100,R,2.3
2,3,0.689352,1,44,R,1.6
2,3,0.6002084,1,100,R,1.3
2,3,1.2638706,1,16,R,1.4
2,3,1.1014813,1,72,R,2.3
2,3,0.8386014,1,100,R,1.6
2,3,0.8684972,1,72,R,1.3
2,3,1.182665,1,72,R,0.9
2,3,1.0118278,1,100,R,2.1
2,3,0.6222797,1,44,R,1.3
2,3,0.7966391,1,16,R,2.1
2,3,0.7331992,1,100,R,0.9
2,3,0.9438473,1,100,R,1.9
2,3,1.6418212,0,16,R,1.9
2,3,0.5515762,1,72,R,1.9
2,3,0.5913486,1,16,R,1.9
2,3,0.68529,1,100,R,1.1
2,3,0.7896244,1,44,R,1.1
2,3,0.9729257,1,72,R,2.1
2,3,1.2397321,1,100,R,1.6
2,3,0.9225524,1,44,R,1.4
2,3,0.7738328,1,44,R,1.3
2,3,0.8735913,1,72,R,2.1
2,3,0.7241925,1,16,R,2.3
2,3,0.8840743,1,72,R,2.1
2,3,1.311508,1,100,R,2.3
2,3,0.6936245,1,100,R,1.9
2,3,0.9176357,1,72,R,0.9
2,4,0.4668563,1,72,R,2.1
2,4,1.2399264,1,16,R,1.4
2,4,0.7062319,1,44,R,0.9
2,4,0.5107714,1,44,R,1.1
2,4,0.3441915,1,100,R,1.1
2,4,0.4177052,1,72,R,1.8
2,4,0.4148386,1,72,R,2.3
2,4,0.3242078,1,44,R,1.3
2,4,0.4456451,1,100,R,1.3
2,4,0.4011801,1,72,R,2.3
2,4,0.3559156,1,16,R,2.3
2,4,0.4628377,1,44,R,1.3
2,4,0.5336358,1,72,R,1.1
2,4,0.588358,1,44,R,1.8
2,4,0.4243925,1,16,R,2.1
2,4,0.5232605,1,72,R,1.9
2,4,0.5894077,1,44,R,0.9
2,4,0.5918823,1,16,R,1.3
2,4,0.6582265,1,16,R,1.4
2,4,0.6962526,1,44,R,1.1
2,4,0.7409691,1,16,R,1.8
2,4,0.6774671,1,100,R,2.1
2,4,0.5729907,1,100,R,1.1
2,4,1.0890029,1,100,R,2.1
2,4,0.975642,1,16,R,1.1
2,4,0.8835974,1,72,R,2.1
2,4,0.8252666,1,72,R,1.1
2,4,0.588969,1,100,R,1.6
2,4,0.6792071,1,100,R,1.8
2,4,0.6055859,1,44,R,1.1
2,4,0.7806566,1,16,R,1.1
2,4,0.4834668,1,72,R,2.1
2,4,0.5147229,1,16,R,1.4
2,4,0.3552336,1,100,R,1.4
2,4,0.4396822,1,72,R,1.1
2,4,0.4931694,1,100,R,1.8
2,4,0.3459063,1,44,R,0.9
2,4,0.2552495,1,100,R,2.3
2,4,0.2125418,1,72,R,1.6
2,4,0.2409827,1,44,R,2.1
2,4,0.183646,1,100,R,1.3
2,4,0.8049984,0,16,R,0.9
2,4,0.416087,1,72,R,1.8
2,4,0.3604235,1,100,R,2.1
2,4,0.2145432,1,100,R,2.1
2,4,0.3884315,1,44,R,1.3
2,4,0.4044138,1,100,R,1.4
2,4,0.2443488,1,72,R,2.1
2,4,0.4383039,1,100,R,1.4
2,4,0.4348304,1,72,R,2.3
2,4,0.2998163,1,72,R,1.8
2,4,0.9752242,1,16,R,2.3
2,4,0.489188,1,100,R,2.3
2,4,0.4344776,1,72,R,1.8
2,4,0.5079458,1,16,R,1.6
2,4,0.5004348,1,72,R,0.9
2,4,0.5384884,1,100,R,0.9
2,4,0.510843,1,100,R,1.3
2,4,0.3395091,1,16,R,1.1
2,4,0.3623548,1,44,R,1.4
2,4,0.6252027,0,16,R,1.3
2,4,0.5229231,1,16,R,1.1
2,4,0.3124672,1,44,R,2.3
2,4,0.3912345,1,72,R,1.4
2,4,0.4222238,1,100,R,2.1
2,4,0.3503495,1,72,R,2.3
2,4,0.2887265,1,72,R,0.9
2,4,0.5907182,1,16,R,0.9
2,4,0.8240066,1,16,R,1.9
2,4,1.0575906,1,16,R,1.4
2,4,1.9015214,1,72,R,0.9
2,4,0.6215394,1,16,R,2.3
2,4,0.4465499,1,16,R,1.3
3,1,0.5927372,1,44,R,0.9
3,1,0.5491041,1,72,R,1.3
3,1,2.0648767,1,16,R,2.3
3,1,0.8901354,1,16,R,1.8
3,1,0.5666099,1,72,R,1.3
3,1,0.6302887,1,72,R,2.1
3,1,0.5711873,1,44,R,1.4
3,1,1.9071422,1,16,R,2.3
3,1,1.3257575,1,16,R,2.1
3,1,0.9499241,1,72,R,1.3
3,1,0.937112,1,16,R,1.8
3,1,1.2427071,0,16,R,2.3
3,1,1.3273508,1,100,R,0.9
3,1,0.7042565,1,16,R,1.1
3,1,0.7930638,1,44,R,1.9
3,1,0.5154938,1,72,R,1.4
3,1,0.6943152,1,100,R,1.6
3,1,0.4167109,1,72,R,2.1
3,1,0.4669028,1,72,R,1.6
3,1,1.2728548,1,16,R,1.4
3,1,0.5494644,1,72,R,1.8
3,1,0.4373939,1,100,R,1.9
3,1,0.3712065,1,100,R,1.6
3,1,0.790261,1,16,R,1.9
3,1,1.5643696,0,44,R,1.8
3,1,0.6293168,1,44,R,2.1
3,1,0.4164692,1,100,R,0.9
3,1,0.4882937,1,44,R,2.3
3,1,0.6069868,1,16,R,2.3
3,1,0.6060241,1,16,R,2.1
3,1,0.5793537,1,44,R,0.9
3,1,0.8615558,1,100,R,1.8
3,1,0.5582802,1,16,R,1.3
3,1,0.4901216,1,44,R,1.6
3,1,0.8022648,1,44,R,1.4
3,1,1.1963766,1,44,R,1.1
3,1,0.4882239,1,100,R,0.9
3,1,0.583712,1,72,R,0.9
3,1,1.0632072,0,44,R,1.4
3,1,0.5216013,1,44,R,1.4
3,1,0.4826873,1,72,R,0.9
3,1,0.5610848,1,44,R,2.1
3,1,0.6141237,0,44,R,1.6
3,1,0.7604447,0,100,R,2.1
3,1,0.720058,1,44,R,1.8
3,1,1.2274332,1,100,R,1.4
3,1,0.7435587,1,16,R,1.6
3,1,0.4214034,1,44,R,1.4
3,1,0.6412808,1,72,R,0.9
3,1,0.6109255,1,44,R,1.9
3,1,0.5396125,1,44,R,1.8
3,1,0.7342893,1,100,R,1.4
3,1,0.6523049,1,72,R,1.1
3,1,0.5579714,1,16,R,2.1
3,1,0.5251427,1,16,R,2.3
3,1,0.5332513,1,72,R,1.9
3,1,0.5512482,1,72,R,1.6
3,1,0.6066383,1,44,R,1.8
3,1,1.2557985,1,16,R,1.1
3,1,0.5352816,1,44,R,1.1
3,1,0.6010441,1,72,R,2.3
3,2,0.892955,1,100,R,1.9
3,2,0.4777582,1,100,R,2.3
3,2,0.667163,1,72,R,1.9
3,2,0.7042117,1,16,R,1.4
3,2,0.4329377,1,72,R,0.9
3,2,0.7381843,1,44,R,1.4
3,2,0.6167651,1,100,R,1.8
3,2,0.7704593,1,100,R,2.1
3,2,0.4823931,1,72,R,2.3
3,2,0.4604392,1,44,R,2.3
3,2,0.4233003,1,72,R,2.1
3,2,0.702611,1,100,R,1.3
3,2,0.5096241,1,100,R,1.6
3,2,0.5005918,1,72,R,0.9
3,2,0.4496788,1,72,R,0.9
3,2,0.607166,1,16,R,1.9
3,2,0.5715026,1,44,R,1.3
3,2,2.0970891,1,44,R,2.3
3,2,0.4176618,1,72,R,1.3
3,2,0.4773886,1,44,R,1.3
3,2,0.6366169,1,44,R,1.8
3,2,0.4489579,1,44,R,2.1
3,2,0.5018863,1,72,R,1.9
3,2,0.5276206,1,100,R,1.1
3,2,0.4908306,1,16,R,2.3
3,2,0.4007424,1,72,R,1.9
3,2,0.4621378,1,44,R,1.4
3,2,0.683403,1,72,R,0.9
3,2,0.462651,1,44,R,1.9
3,2,2.0367348,0,16,R,1.3
3,2,0.5406648,1,44,R,0.9
3,2,0.4391129,1,44,R,1.4
3,2,0.5267434,1,100,R,1.1
3,2,0.5812681,1,16,R,1.4
3,2,0.491581,1,100,R,1.9
3,2,0.3846574,1,72,R,1.1
3,2,0.5246034,1,16,R,2.1
3,2,0.5579725,1,16,R,1.9
3,2,0.3470647,1,44,R,1.8
3,2,1.0986436,1,16,R,1.9
3,2,0.7412093,1,16,R,1.3
3,2,0.5657061,1,72,R,1.8
3,2,0.3839054,1,72,R,1.1
3,2,0.3963246,1,44,R,2.1
3,2,0.4233751,1,44,R,0.9
3,2,0.3565555,1,100,R,1.3
3,2,0.4794849,1,44,R,2.3
