subject,block,rt,response,duration,hist,rsi
1,4,0.4861036,0,0.3,R,1.9
1,4,0.3448335,1,0.6,R,2.1
1,4,0.5410234,1,0.7,R,1.8
1,4,0.338017,0,0.3,R,1.6
1,4,0.3647992,0,0.3,R,1.1
1,4,0.4492562,0,0.2,R,0.9
1,4,0.4652108,1,0.8,R,0.9
1,4,0.3009981,1,0.5,R,1.9
1,4,0.2322434,1,0.7,R,1.8
1,4,0.3960659,0,0.6,R,0.9
1,4,0.3407995,0,0.3,R,1.1
1,4,0.2288613,1,0.8,R,2.1
1,4,0.2726804,1,0.7,R,0.9
1,4,0.4810722,0,0.4,R,1.3
1,4,0.4089616,0,0.2,R,1.4
1,4,0.5690009,0,0.5,R,2.3
1,4,0.3491598,0,0.3,R,0.9
1,4,0.252732,1,0.5,R,1.8
1,4,0.3407095,0,0.3,R,1.4
1,4,0.406241,1,0.6,R,1.4
1,4,0.325828,1,0.6,R,1.1
1,4,0.3751483,0,0.4,R,1.1
1,4,0.3130639,0,0.2,R,0.9
1,4,0.5246077,0,0.5,R,1.6
1,4,0.2889856,0,0.4,R,1.8
1,4,0.490534,0,0.4,R,1.3
1,4,0.2883514,1,0.8,R,1.6
1,4,0.5137198,0,0.4,R,2.1
1,4,0.2016986,1,0.8,R,2.3
1,4,0.3017003,1,0.7,R,1.3
1,4,0.3769448,0,0.3,R,0.9
1,4,0.4221746,0,0.3,R,2.3
1,4,0.5537886,1,0.6,R,1.8
1,4,0.3661072,0,0.5,R,0.9
1,4,0.464799,1,0.6,R,2.3
1,4,0.3009253,0,0.3,R,0.9
1,4,0.2139704,0,0.7,R,0.9
1,4,0.2852325,0,0.5,R,2.3
1,4,0.6887567,1,0.5,R,1.8
1,4,0.3007419,0,0.5,R,1.6
1,4,0.2480707,0,0.4,R,1.4
1,4,0.2649313,1,0.8,R,1.6
1,4,0.5688487,1,0.5,R,1.3
1,4,0.3569441,0,0.5,R,0.9
1,4,0.536848,0,0.3,R,2.1
1,4,0.4528676,0,0.5,R,1.3
1,4,0.6019899,0,0.5,R,1.9
1,4,0.4131446,0,0.2,R,1.6
1,4,0.2448548,0,0.2,R,1.1
1,4,0.5568204,0,0.5,R,1.9
1,4,0.2848851,0,0.2,R,2.3
1,4,0.2649047,1,0.7,R,1.9
2,1,1.1555968,1,0.4,R,2.3
2,1,0.465285,1,0.7,R,1.8
2,1,0.5504492,1,0.7,R,1.4
2,1,0.6218799,0,0.3,R,1.4
